GeoID,Years,GeoType,TotalPop,PctRural,PctMinority,PctHispanic,PctBlackNH,PctAPINH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns
A9012za,01yr,Zone,59615,0.00,32.67,20.55,3.63,6.85,33.55,5.65,10.49,32.03,10.25,9.90
A9012za,05yrs,Zone,59615,0.00,32.67,20.55,3.63,6.85,33.55,5.65,10.49,32.03,10.25,9.90
A9012za,10yrs,Zone,59615,0.00,32.67,20.55,3.63,6.85,33.14,6.24,11.14,30.02,10.02,10.20
A9013za,01yr,Zone,62031,0.00,42.04,18.42,17.53,4.16,20.77,8.75,9.16,37.99,5.37,5.93
A9013za,05yrs,Zone,62031,0.00,42.04,18.42,17.53,4.16,20.77,8.75,9.16,37.99,5.37,5.93
A9013za,10yrs,Zone,62031,0.00,42.04,18.42,17.53,4.16,21.68,9.37,9.51,35.22,6.64,7.76
A9014za,01yr,Zone,60556,0.00,82.17,66.68,11.68,2.26,51.03,9.44,25.95,11.13,17.15,23.64
A9014za,05yrs,Zone,60556,0.00,82.17,66.68,11.68,2.26,51.03,9.44,25.95,11.13,17.15,23.64
A9014za,10yrs,Zone,60556,0.00,82.17,66.68,11.68,2.26,50.75,8.07,26.23,11.11,17.82,24.01
A9015za,01yr,Zone,56126,41.08,27.55,16.05,8.02,1.53,7.23,11.07,9.70,24.46,8.26,6.44
A9015za,05yrs,Zone,56126,41.08,27.55,16.05,8.02,1.53,7.23,11.07,9.70,24.46,8.26,6.44
A9015za,10yrs,Zone,56126,41.08,27.55,16.05,8.02,1.53,7.82,11.44,11.31,24.03,9.06,8.53
A9016za,01yr,Zone,64120,1.67,60.50,17.52,24.36,15.90,31.92,6.42,8.94,44.23,8.19,10.26
A9016za,05yrs,Zone,64120,1.67,60.50,17.52,24.36,15.90,31.92,6.42,8.94,44.23,8.19,10.26
A9016za,10yrs,Zone,64120,1.67,60.50,17.52,24.36,15.90,30.78,5.98,8.64,43.37,6.96,9.44
A9017za,01yr,Zone,58592,0.00,23.46,14.20,6.34,1.57,7.93,7.10,6.60,35.00,14.02,4.71
A9017za,05yrs,Zone,58592,0.00,23.46,14.20,6.34,1.57,7.93,7.10,6.60,35.00,14.02,4.71
A9017za,10yrs,Zone,58592,0.00,23.46,14.20,6.34,1.57,9.54,7.77,10.46,31.38,13.92,7.52
A9018za,01yr,Zone,58730,0.00,76.64,29.87,11.91,30.89,50.43,6.59,11.49,47.82,16.14,10.92
A9018za,05yrs,Zone,58730,0.00,76.64,29.87,11.91,30.89,50.43,6.59,11.49,47.82,16.14,10.92
A9018za,10yrs,Zone,58730,0.00,76.64,29.87,11.91,30.89,51.30,7.74,12.77,45.65,18.44,13.35
A9019za,01yr,Zone,50913,0.00,51.91,31.67,6.19,11.80,33.85,6.88,11.30,36.33,9.87,11.40
A9019za,05yrs,Zone,50913,0.00,51.91,31.67,6.19,11.80,33.85,6.88,11.30,36.33,9.87,11.40
A9019za,10yrs,Zone,50913,0.00,51.91,31.67,6.19,11.80,30.91,7.14,10.85,34.55,9.25,10.80
A9020za,01yr,Zone,53327,0.00,43.01,25.75,7.52,7.44,29.03,7.36,10.47,37.95,9.83,7.11
A9020za,05yrs,Zone,53327,0.00,43.01,25.75,7.52,7.44,29.03,7.36,10.47,37.95,9.83,7.11
A9020za,10yrs,Zone,53327,0.00,43.01,25.75,7.52,7.44,29.02,7.51,11.31,35.70,12.84,9.85
A9021za,01yr,Zone,58699,0.00,86.26,77.84,1.81,5.49,59.33,8.05,25.11,32.02,20.44,21.93
A9021za,05yrs,Zone,58699,0.00,86.26,77.84,1.81,5.49,59.33,8.05,25.11,32.02,20.44,21.93
A9021za,10yrs,Zone,58699,0.00,86.26,77.84,1.81,5.49,59.37,7.26,26.23,28.17,21.02,23.78
A9022za,01yr,Zone,58179,0.00,50.08,11.76,8.37,27.61,34.23,6.13,8.09,48.42,6.91,6.07
A9022za,05yrs,Zone,58179,0.00,50.08,11.76,8.37,27.61,34.23,6.13,8.09,48.42,6.91,6.07
A9022za,10yrs,Zone,58179,0.00,50.08,11.76,8.37,27.61,34.16,6.21,7.47,48.11,6.36,6.53
A9023za,01yr,Zone,54034,4.05,48.84,5.17,6.44,35.08,40.78,5.24,2.61,68.91,4.63,1.77
A9023za,05yrs,Zone,54034,4.05,48.84,5.17,6.44,35.08,40.78,5.24,2.61,68.91,4.63,1.77
A9023za,10yrs,Zone,54034,4.05,48.84,5.17,6.44,35.08,40.24,5.49,3.56,66.55,4.28,2.97
A9024za,01yr,Zone,50676,34.84,35.20,13.61,17.90,1.05,5.68,15.20,14.63,12.69,11.95,5.94
A9024za,05yrs,Zone,50676,34.84,35.20,13.61,17.90,1.05,5.68,15.20,14.63,12.69,11.95,5.94
A9024za,10yrs,Zone,50676,34.84,35.20,13.61,17.90,1.05,5.07,14.60,16.86,13.28,14.60,7.22
A9025za,01yr,Zone,55669,0.00,25.87,10.49,9.21,4.34,7.87,8.61,7.80,46.91,10.71,4.83
A9025za,05yrs,Zone,55669,0.00,25.87,10.49,9.21,4.34,7.87,8.61,7.80,46.91,10.71,4.83
A9025za,10yrs,Zone,55669,0.00,25.87,10.49,9.21,4.34,8.05,8.46,7.92,44.33,7.98,5.85
A9026za,01yr,Zone,58572,2.54,9.09,4.40,2.07,1.56,5.24,5.39,2.83,58.48,3.11,3.42
A9026za,05yrs,Zone,58572,2.54,9.09,4.40,2.07,1.56,5.24,5.39,2.83,58.48,3.11,3.42
A9026za,10yrs,Zone,58572,2.54,9.09,4.40,2.07,1.56,5.60,5.65,3.16,54.29,4.00,3.98
A9027za,01yr,Zone,53946,5.10,38.58,12.46,11.33,12.14,15.23,10.32,7.55,33.38,8.31,5.57
A9027za,05yrs,Zone,53946,5.10,38.58,12.46,11.33,12.14,15.23,10.32,7.55,33.38,8.31,5.57
A9027za,10yrs,Zone,53946,5.10,38.58,12.46,11.33,12.14,16.43,9.80,9.86,30.75,9.65,8.14
