GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI,GeoName,GeoType
A9145za,Both,HL,10yrs,620963,19,2.8,1.6,4.6,525620,18,3.1,1.7,5.3,22312,,,,,62017,,,,,10573,,,,,440,,,,,Ocean 3,Zone
A9145za,Female,HL,10yrs,326143,,,,,278087,,,,,11829,,,,,30059,,,,,5944,,,,,224,,,,,Ocean 3,Zone
A9145za,Male,HL,10yrs,294820,,,,,247534,,,,,10483,,,,,31958,,,,,4629,,,,,216,,,,,Ocean 3,Zone
A9146za,Both,HL,10yrs,524116,,,,,216666,,,,,124877,,,,,171488,,,,,4742,,,,,6343,,,,,Cumberland 2,Zone
A9146za,Female,HL,10yrs,242308,,,,,109060,,,,,52658,,,,,75097,,,,,2343,,,,,3150,,,,,Cumberland 2,Zone
A9146za,Male,HL,10yrs,281808,,,,,107605,,,,,72219,,,,,96392,,,,,2399,,,,,3193,,,,,Cumberland 2,Zone
A9147za,Both,HL,10yrs,616575,17,2.9,1.7,4.6,206612,,,,,218853,,,,,145441,,,,,44686,,,,,983,,,,,Union 3,Zone
A9147za,Female,HL,10yrs,321269,,,,,104512,,,,,119320,,,,,73282,,,,,23530,,,,,625,,,,,Union 3,Zone
A9147za,Male,HL,10yrs,295306,,,,,102100,,,,,99533,,,,,72159,,,,,21156,,,,,357,,,,,Union 3,Zone
A9148za,Both,HL,10yrs,618911,18,3.1,1.7,5.2,533177,17,3.5,1.8,5.9,17363,,,,,56649,,,,,11089,,,,,633,,,,,Ocean 8,Zone
A9148za,Female,HL,10yrs,327378,,,,,285087,,,,,8286,,,,,27529,,,,,6126,,,,,351,,,,,Ocean 8,Zone
A9148za,Male,HL,10yrs,291533,,,,,248090,,,,,9077,,,,,29120,,,,,4964,,,,,283,,,,,Ocean 8,Zone
B0118za,Both,HL,10yrs,958394,27,2.8,1.7,4.2,829226,22,2.7,1.6,4.2,44691,,,,,71962,,,,,10796,,,,,1719,,,,,Cape May,Zone
B0118za,Female,HL,10yrs,491527,,,,,428304,,,,,21666,,,,,34640,,,,,6042,,,,,875,,,,,Cape May,Zone
B0118za,Male,HL,10yrs,466867,17,3.3,1.8,5.5,400922,,,,,23025,,,,,37322,,,,,4754,,,,,844,,,,,Cape May,Zone
B0146za,Both,HL,10yrs,649941,,,,,487198,,,,,92291,,,,,60290,,,,,7867,,,,,2295,,,,,Salem,Zone
B0146za,Female,HL,10yrs,331075,,,,,248566,,,,,48826,,,,,28182,,,,,4365,,,,,1136,,,,,Salem,Zone
B0146za,Male,HL,10yrs,318866,,,,,238632,,,,,43465,,,,,32108,,,,,3502,,,,,1159,,,,,Salem,Zone
US,Both,HL,10yrs,1365638516,35179,2.5,2.5,2.5,694129751,20665,2.9,2.8,2.9,165013851,4419,2.7,2.6,2.7,366841656,7745,2.3,2.3,2.4,131551070,1870,1.4,1.3,1.5,8102188,140,1.7,1.4,2.0,United States,Nationwide
US,Female,HL,10yrs,688969769,15774,2.2,2.2,2.3,349265020,9219,2.6,2.6,2.7,85622102,2028,2.3,2.2,2.4,181791741,3464,2.0,2.0,2.1,68155116,851,1.2,1.1,1.3,4135790,66,1.5,1.2,2.0,United States,Nationwide
